number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_rmse,system_attrs_tpe:relative_params:0,state
35,0.10420707429561997,2026-09-09 15:23:53.967496,2026-09-09 15:23:58.543687,0 days 00:00:04.576191,0.6395923874711533,0.016878578919334253,7,19,612,0.007396732008649369,3.43041988710764,0.8445555380928873,3.6487700868615494,"{""colsample_bytree"": 0.6395923874711533, ""learning_rate"": 0.016878578919334253, ""max_depth"": 7, ""min_child_weight"": 19, ""n_estimators"": 612, ""reg_alpha"": 0.007396732008649369, ""reg_lambda"": 3.43041988710764, ""subsample"": 0.8445555380928873}",COMPLETE
36,0.10399873080698109,2026-09-09 15:23:58.544680,2026-09-09 15:24:04.253228,0 days 00:00:05.708548,0.6700203994120376,0.013846409717151181,8,14,665,0.00030411948923541845,0.13246208652851926,0.8828393737678579,3.646749852496523,"{""colsample_bytree"": 0.6700203994120376, ""learning_rate"": 0.013846409717151181, ""max_depth"": 8, ""min_child_weight"": 14, ""n_estimators"": 665, ""reg_alpha"": 0.00030411948923541845, ""reg_lambda"": 0.13246208652851926, ""subsample"": 0.8828393737678579}",COMPLETE
37,0.1041959171379861,2026-09-09 15:24:04.254229,2026-09-09 15:24:09.304553,0 days 00:00:05.050324,0.7043872920605668,0.029231226819731927,8,13,615,0.010339390576465959,0.596501699908243,0.8382863871173888,3.663358466907052,"{""colsample_bytree"": 0.7043872920605668, ""learning_rate"": 0.029231226819731927, ""max_depth"": 8, ""min_child_weight"": 13, ""n_estimators"": 615, ""reg_alpha"": 0.010339390576465959, ""reg_lambda"": 0.596501699908243, ""subsample"": 0.8382863871173888}",COMPLETE
38,0.10412688576997889,2026-09-09 15:24:09.304553,2026-09-09 15:24:14.336576,0 days 00:00:05.032023,0.6576432292148773,0.020092585283794834,8,15,605,0.0005817432352700494,2.284510161680527,0.8069351286203233,3.6500850908895695,"{""colsample_bytree"": 0.6576432292148773, ""learning_rate"": 0.020092585283794834, ""max_depth"": 8, ""min_child_weight"": 15, ""n_estimators"": 605, ""reg_alpha"": 0.0005817432352700494, ""reg_lambda"": 2.284510161680527, ""subsample"": 0.8069351286203233}",COMPLETE
39,0.10400875673562791,2026-09-09 15:24:14.336576,2026-09-09 15:24:21.797255,0 days 00:00:07.460679,0.6204845460255051,0.010396919320470686,9,14,733,0.4514600451702571,0.059227095457587954,0.852488065678652,3.6482886191226793,"{""colsample_bytree"": 0.6204845460255051, ""learning_rate"": 0.010396919320470686, ""max_depth"": 9, ""min_child_weight"": 14, ""n_estimators"": 733, ""reg_alpha"": 0.4514600451702571, ""reg_lambda"": 0.059227095457587954, ""subsample"": 0.852488065678652}",COMPLETE
40,0.10406241411481884,2026-09-09 15:24:21.798257,2026-09-09 15:24:29.150922,0 days 00:00:07.352665,0.5864927711694397,0.010796808892447551,9,18,744,0.850319468740698,0.021936528195096765,0.8457275358249677,3.649036855012405,"{""colsample_bytree"": 0.5864927711694397, ""learning_rate"": 0.010796808892447551, ""max_depth"": 9, ""min_child_weight"": 18, ""n_estimators"": 744, ""reg_alpha"": 0.850319468740698, ""reg_lambda"": 0.021936528195096765, ""subsample"": 0.8457275358249677}",COMPLETE
41,0.10412264435877379,2026-09-09 15:24:29.151930,2026-09-09 15:24:35.431121,0 days 00:00:06.279191,0.659649681763117,0.011449322389380812,8,15,682,0.3399051426123999,0.6103687901076253,0.8547494069870883,3.648806363451284,"{""colsample_bytree"": 0.659649681763117, ""learning_rate"": 0.011449322389380812, ""max_depth"": 8, ""min_child_weight"": 15, ""n_estimators"": 682, ""reg_alpha"": 0.3399051426123999, ""reg_lambda"": 0.6103687901076253, ""subsample"": 0.8547494069870883}",COMPLETE
42,0.10403209375799669,2026-09-09 15:24:35.432024,2026-09-09 15:24:42.668496,0 days 00:00:07.236472,0.6402816960274029,0.011653633557823506,9,13,704,0.0009330276754783204,0.2339918943476768,0.8611151557511765,3.648800131390509,"{""colsample_bytree"": 0.6402816960274029, ""learning_rate"": 0.011653633557823506, ""max_depth"": 9, ""min_child_weight"": 13, ""n_estimators"": 704, ""reg_alpha"": 0.0009330276754783204, ""reg_lambda"": 0.2339918943476768, ""subsample"": 0.8611151557511765}",COMPLETE
43,0.10407325085544875,2026-09-09 15:24:42.669490,2026-09-09 15:24:47.972695,0 days 00:00:05.303205,0.6029733927306041,0.017936246373498693,7,13,714,0.044205300106742514,0.03985488969394966,0.8499334399773282,3.647401688834802,"{""colsample_bytree"": 0.6029733927306041, ""learning_rate"": 0.017936246373498693, ""max_depth"": 7, ""min_child_weight"": 13, ""n_estimators"": 714, ""reg_alpha"": 0.044205300106742514, ""reg_lambda"": 0.03985488969394966, ""subsample"": 0.8499334399773282}",COMPLETE
44,0.1040017542337235,2026-09-09 15:24:47.972695,2026-09-09 15:24:54.303649,0 days 00:00:06.330954,0.7490766044666757,0.01819973755356749,8,12,743,0.001151607508633931,0.013507674851795293,0.9041824390487904,3.652926702538314,"{""colsample_bytree"": 0.7490766044666757, ""learning_rate"": 0.01819973755356749, ""max_depth"": 8, ""min_child_weight"": 12, ""n_estimators"": 743, ""reg_alpha"": 0.001151607508633931, ""reg_lambda"": 0.013507674851795293, ""subsample"": 0.9041824390487904}",COMPLETE
45,0.10401289206907473,2026-09-09 15:24:54.303649,2026-09-09 15:25:02.231131,0 days 00:00:07.927482,0.65468697840952,0.011998785180306478,9,16,791,2.295921521794357,0.8802306347677196,0.8275907664159496,3.6483517817893687,"{""colsample_bytree"": 0.65468697840952, ""learning_rate"": 0.011998785180306478, ""max_depth"": 9, ""min_child_weight"": 16, ""n_estimators"": 791, ""reg_alpha"": 2.295921521794357, ""reg_lambda"": 0.8802306347677196, ""subsample"": 0.8275907664159496}",COMPLETE
46,0.10400259170037247,2026-09-09 15:25:02.232130,2026-09-09 15:25:08.715599,0 days 00:00:06.483469,0.6996372435994848,0.017270584690303147,8,14,750,2.808883799906384,0.10379816208338223,0.8574430650362623,3.6492515348081653,"{""colsample_bytree"": 0.6996372435994848, ""learning_rate"": 0.017270584690303147, ""max_depth"": 8, ""min_child_weight"": 14, ""n_estimators"": 750, ""reg_alpha"": 2.808883799906384, ""reg_lambda"": 0.10379816208338223, ""subsample"": 0.8574430650362623}",COMPLETE
47,0.10426664590897906,2026-09-09 15:25:08.715599,2026-09-09 15:25:13.580523,0 days 00:00:04.864924,0.7009264911748475,0.013157715513480148,7,12,621,0.0016166937647634416,0.45196614700009297,0.9189414300954335,3.6531917749292266,"{""colsample_bytree"": 0.7009264911748475, ""learning_rate"": 0.013157715513480148, ""max_depth"": 7, ""min_child_weight"": 12, ""n_estimators"": 621, ""reg_alpha"": 0.0016166937647634416, ""reg_lambda"": 0.45196614700009297, ""subsample"": 0.9189414300954335}",COMPLETE
48,0.10401879410974996,2026-09-09 15:25:13.580523,2026-09-09 15:25:19.809597,0 days 00:00:06.229074,0.6127419831410943,0.014568349610977919,8,11,735,0.26115466315151614,0.10537367532139717,0.8548903654035762,3.6455343559068756,"{""colsample_bytree"": 0.6127419831410943, ""learning_rate"": 0.014568349610977919, ""max_depth"": 8, ""min_child_weight"": 11, ""n_estimators"": 735, ""reg_alpha"": 0.26115466315151614, ""reg_lambda"": 0.10537367532139717, ""subsample"": 0.8548903654035762}",COMPLETE
49,0.10408984616816429,2026-09-09 15:25:19.809597,2026-09-09 15:25:26.138306,0 days 00:00:06.328709,0.740902312325629,0.010994294725737474,8,15,712,0.008829544879309446,0.030106154598574228,0.867512658979087,3.648696950785738,"{""colsample_bytree"": 0.740902312325629, ""learning_rate"": 0.010994294725737474, ""max_depth"": 8, ""min_child_weight"": 15, ""n_estimators"": 712, ""reg_alpha"": 0.008829544879309446, ""reg_lambda"": 0.030106154598574228, ""subsample"": 0.867512658979087}",COMPLETE
